Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9736842105263158,0.9666666666666667,0.9791666666666666,0.9717034521788341
Random Forest,0.9736842105263158,0.9666666666666667,0.9791666666666666,0.9717034521788341
SVM,0.9736842105263158,0.9666666666666667,0.9791666666666666,0.9717034521788341
